entidad,entidad_departamento,descripcion_item,monto_referencial_item_soles,monto_adjudicado_item_soles,diferencia_pct_cap,dias_proceso,proveedor
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,1 DNEASY PLANT  MINI KIT PARA 250 EXTRACCIONES.,4800.0,23400.0,387.5,32,AVTAM E.I.R.L.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,KIT DE PROCESAMIENTO CITOMETRO DE FLUJO,1150.0,5522.12,380.18434782608693,34,UMBRELLA GENOMICS COMPANY S.A.C.
EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRO NOR MEDIO SA HIDRANDINA,LA LIBERTAD,"CONSULTOR¿A PARA LA ELABORACI¿N DEL PLAN AMBIENTAL DETALLADO (PAD) DE GENERACI¿N Y SU RESPECTIVA APROBACI¿N POR LA ENTIDAD COMPETENTE, PARA TODA LA ZONA DE RESPONSABILIDAD T¿CNICA DE HIDRANDINA",115000.0,550000.0,378.2608695652174,35,C & J NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),LIMA,CONTRATACI¿N DEL SERVICIO DE ALQUILER DE INMUEBLE PARA NUEVO ALMACEN DE LA UNIDAD ZONAL PIURA-TUMBES,120000.0,555000.0,362.5,30,MERINO SANCHEZ FRANCISCO HERNANDO
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,PAQUETE 13,2229.0,9925.9,345.3073126962763,38,DSCIENCE GLOBAL INTERNATIONAL S.A.C.
ORGANISMO SUPERVISOR DE LA INVERSION EN INFRAESTRUCTURA DE TRANSPORTE DE USO PUBLICO,LIMA,P¿liza de Seguro de Vida Ley,79068.16,342086.29,332.6473387011915,18,PROTECTA S.A. COMPAÑIA DE SEGUROS Y REASEGUROS
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,Mezcla reparadora de ADN,1300.0,5576.0,328.9230769230769,32,BIOTECNOLOGY LATINA S.R.L.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,Columna ZORBAX eclipse plus C18,1000.0,4272.0,327.2,34,MERCK PERUANA S A
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,MEDIDOR DE COLOR (COLOR¿METRO),2000.0,8500.0,325.0,15,JH TUMAY E.I.R.L.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,PAQUETE 16,6400.0,26786.8,318.54375,38,DSCIENCE GLOBAL INTERNATIONAL S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,KIT DE EXTRACCION DE ADN A PARTIR DE TEJIDOS X 250DETERMINACIONES,1000.0,4102.0,310.2,34,BM CORPORACION PERUANA S.A.C.
CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,LIMA,GEMCITABINA  1 g INY,144200.0,574740.0,298.57142857142856,74,PHARMARIS PERU S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,KIT ESTANDAR DE SECUENCIAMIENTO PARA ANALIZADOR GENETICO 3500,2500.0,9799.9,291.996,34,BIOTECNOMICA S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,Cloruro de dansilo para aminoacidos,2000.0,7797.32,289.866,32,MERCK PERUANA S A
GOBIERNO REGIONAL DE CUSCO - RED DE SERVICIOS  DE SALUD LA CONVENCION,CUSCO,PANTOSCOPIO,53484.75,207900.0,288.7089310504396,22,COMERCIO E INDUSTRIA DENTAL TARRILLO BARBA S.A.C.
UNIDAD EJECUTORA 003 GESTION INTEGRAL DE LA CALIDAD AMBIENTAL,LIMA,LOTE 02: CONTENEDORES SOTERRADOS Y DE ESTRUCTURA MET¿LICA,766550.0,2960010.0,286.1470223729698,175,MILENIUM GROUP SAC
